"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"DY53YA","OK",TRUE,30,30,30,TRUE,9
"DY53YB","OK",FALSE,27.7,20,30,TRUE,4
"DY53YD","OK",FALSE,30,20,30,TRUE,22
"DY53YE","OK",TRUE,12.1,8.9,30,TRUE,7
"DY53YF","OK",TRUE,22.6,20,30,TRUE,32
"DY53YG","OK",FALSE,24.1,20,30,TRUE,5
"DY53YH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY53YH","No Data",NA,NA,NA,NA,TRUE,0
"DY53YJ","OK",FALSE,30,20,30,TRUE,9
"DY53YL","OK",FALSE,28.3,25,30,TRUE,4
"DY53YN","Insufficient Data",NA,NA,NA,NA,TRUE,1
"DY53YP","OK",FALSE,25.4,20,30,TRUE,9
"DY53YQ","OK",FALSE,30,21,30,TRUE,27
"DY53YR","OK",FALSE,24.9,20,30,TRUE,18
"DY53YS","OK",FALSE,20.2,19.9,30,TRUE,14
"DY53YU","OK",TRUE,24.5,20,30,TRUE,15
"DY53YW","OK",FALSE,17.1,15.3,30,TRUE,6
"DY53YX","OK",TRUE,30,20,30,TRUE,7
"DY53YY","OK",TRUE,15.4,10,30,TRUE,20
"DY53YZ","OK",TRUE,30,20,30,TRUE,9
"DY53ZU","No premises",NA,NA,NA,NA,FALSE,0
"DY53AA","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DY53AB","OK",FALSE,21.3,22,30,TRUE,6
"DY53AD","No premises",NA,NA,NA,NA,TRUE,0
"DY53AE","OK",FALSE,18.5,18.5,21.1,TRUE,4
"DY53AG","OK",FALSE,17,17.4,20.7,FALSE,45
"DY53AH","OK",TRUE,3.9,2,7.8,TRUE,3
"DY53AL","OK",FALSE,16.4,16.4,20,FALSE,21
"DY53AP","OK",FALSE,16.4,16.1,22.4,TRUE,7
"DY53AS","No premises",NA,NA,NA,NA,TRUE,0
"DY53AT","OK",FALSE,13.1,14.2,19.7,FALSE,41
"DY53AU","OK",FALSE,15.4,16.7,24,TRUE,8
"DY53AW","OK",FALSE,16.2,17.7,22,TRUE,7
"DY53BB","Insufficient Data",NA,NA,NA,NA,TRUE,1
"DY53BD","No premises",NA,NA,NA,NA,FALSE,0
"DY53BG","No premises",NA,NA,NA,NA,TRUE,0
"DY53BJ","No premises",NA,NA,NA,NA,FALSE,0
"DY53BL","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY53BL","No Data",NA,NA,NA,NA,TRUE,0
"DY53BP","OK",FALSE,28.6,19.6,30,TRUE,3
"DY53BT","OK",FALSE,11.8,4.4,30,TRUE,12
"DY53BU","OK",FALSE,23.8,21.3,30,TRUE,4
"DY53DA","OK",FALSE,23.3,22.8,30,TRUE,6
"DY53DB","OK",FALSE,26,22.4,30,TRUE,13
"DY53DD","OK",FALSE,30,21,30,TRUE,4
"DY53DE","OK",TRUE,23.9,10.8,30,TRUE,14
"DY53DF","OK",FALSE,25.9,12,30,TRUE,7
"DY53DG","OK",FALSE,20.1,9,30,TRUE,6
"DY53DH","No premises",NA,NA,NA,NA,TRUE,0
"DY53DL","OK",FALSE,30,20.7,30,TRUE,8
"DY53DN","OK",FALSE,26.9,22,30,TRUE,23
"DY53DP","OK",TRUE,21.8,20,30,TRUE,9
"DY53DQ","OK",FALSE,30,30,30,TRUE,9
"DY53DR","OK",TRUE,21.8,20,30,TRUE,29
"DY53DS","OK",FALSE,23.5,23.2,30,TRUE,7
"DY53DT","OK",FALSE,21.6,20.5,30,TRUE,13
"DY53DX","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY53DX","No Data",NA,NA,NA,NA,TRUE,0
"DY53DY","OK",FALSE,27.8,22.1,30,TRUE,10
"DY53DZ","OK",FALSE,30,25.5,30,TRUE,6
"DY53ED","No premises",NA,NA,NA,NA,FALSE,0
"DY53EE","OK",FALSE,27.7,20.5,30,TRUE,16
"DY53EG","OK",FALSE,19.7,20,30,TRUE,8
"DY53EH","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY53EH","No Data",NA,NA,NA,NA,TRUE,0
"DY53EP","Insufficient Premises",NA,NA,NA,NA,TRUE,1
"DY53EP","No Data",NA,NA,NA,NA,TRUE,0
"DY53EQ","OK",FALSE,20.5,20,30,TRUE,7
"DY53ER","OK",TRUE,17.4,4,30,TRUE,41
"DY53ES","OK",TRUE,23.3,20,30,TRUE,17
"DY53ET","No premises",NA,NA,NA,NA,FALSE,0
"DY53EU","OK",FALSE,30,30,30,TRUE,10
"DY53EW","OK",TRUE,24.4,20,30,TRUE,18
"DY53EX","No Data",NA,NA,NA,NA,TRUE,0
"DY53EY","OK",TRUE,13.2,15.3,20,TRUE,16
"DY53FB","OK",FALSE,30,30,30,TRUE,3
"DY53FD","OK",TRUE,10.6,5,30,TRUE,6
"DY53FE","Insufficient Data",NA,NA,NA,NA,TRUE,2
"DY53FF","OK",FALSE,27.1,30,30,TRUE,17
"DY53FG","OK",TRUE,20.1,13.6,30,TRUE,27
"DY53FH","OK",FALSE,30,20,30,TRUE,16
"DY53FJ","OK",TRUE,18.4,14.1,30,TRUE,10
"DY53FL","OK",TRUE,15.4,20,30,TRUE,9
"DY53FN","OK",FALSE,21.4,20,30,TRUE,11
"DY53FP","OK",FALSE,23.1,20,30,TRUE,7
"DY53FQ","OK",TRUE,28.2,20,30,TRUE,13
"DY53FR","OK",FALSE,30,20,30,TRUE,13
"DY53FW","OK",FALSE,30,30,30,TRUE,4
"DY53GX","OK",TRUE,9.8,11.1,14.6,TRUE,37
"DY53GY","OK",TRUE,8.4,9.1,13.3,TRUE,30
"DY53GZ","OK",FALSE,12.3,11,30,TRUE,49
"DY53HA","OK",FALSE,30,30,30,TRUE,3
"DY53HB","OK",TRUE,17.6,4.5,30,TRUE,11
"DY53HD","OK",TRUE,25,20,30,TRUE,18
"DY53HE","OK",TRUE,21.1,20,30,TRUE,23
"DY53HF","OK",FALSE,23.4,20.5,30,TRUE,6
"DY53HG","OK",TRUE,20.8,20,30,TRUE,6
"DY53HH","OK",FALSE,25.6,18,30,TRUE,8
"DY53HJ","OK",FALSE,16.8,16.8,30,TRUE,10
"DY53HL","OK",FALSE,21.6,21.7,30,TRUE,14
"DY53HN","OK",TRUE,28.3,20.6,30,TRUE,35
"DY53HP","OK",TRUE,25,20,30,TRUE,27
"DY53HQ","OK",TRUE,20.6,3.9,30,TRUE,12
