"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"CT45AQ","No Data",NA,NA,NA,NA,FALSE,0
"CT45AR","OK",FALSE,9.9,8.1,21.5,FALSE,8
"CT45AS","OK",FALSE,10.7,8.1,17.3,FALSE,4
"CT45AT","OK",FALSE,7.9,7.8,16.5,FALSE,13
"CT45AU","OK",FALSE,11.2,8.6,18.4,FALSE,15
"CT45AW","OK",FALSE,5.3,5.3,5.3,FALSE,4
"CT45AX","OK",FALSE,6.1,6.2,8,FALSE,8
"CT45AY","OK",FALSE,7.7,7.1,14.6,FALSE,10
"CT45AZ","OK",TRUE,7.9,7.2,17.9,FALSE,36
"CT45BA","OK",TRUE,7.1,7.1,15.3,FALSE,25
"CT45BB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"CT45BD","OK",FALSE,12.5,13.6,16,FALSE,4
"CT45BE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT45BE","No Data",NA,NA,NA,NA,FALSE,0
"CT45BG","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CT45BH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT45BH","No Data",NA,NA,NA,NA,FALSE,0
"CT45BJ","OK",FALSE,6.1,6.2,8,FALSE,11
"CT45BL","OK",TRUE,9.2,8.1,18,FALSE,18
"CT45BN","OK",TRUE,9.4,8,22.9,FALSE,25
"CT45BP","OK",FALSE,5.4,5.1,7.8,FALSE,9
"CT45BS","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CT45BT","OK",TRUE,3.4,2.3,7.3,FALSE,3
"CT45BU","Insufficient Data",NA,NA,NA,NA,FALSE,1
"CT45BW","OK",TRUE,3.1,2.8,4.7,FALSE,9
"CT45BX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT45BX","No Data",NA,NA,NA,NA,FALSE,0
"CT45BY","OK",FALSE,6,5.5,7.8,FALSE,7
"CT45BZ","OK",TRUE,7.4,6.2,14.7,FALSE,3
"CT45DA","OK",TRUE,4.7,6,8,FALSE,9
"CT45DB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT45DB","No Data",NA,NA,NA,NA,FALSE,0
"CT45DD","OK",FALSE,4.9,4.3,8.1,FALSE,4
"CT45DE","OK",TRUE,7.5,7.6,15.6,FALSE,23
"CT45DF","OK",FALSE,9.2,8,14.8,FALSE,7
"CT45DG","OK",TRUE,8.2,8,13.1,FALSE,9
"CT45DH","OK",TRUE,6.4,7.7,9.6,FALSE,8
"CT45DJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT45DJ","No Data",NA,NA,NA,NA,FALSE,0
"CT45DL","OK",TRUE,1.9,1.9,2.2,TRUE,3
"CT45DN","OK",FALSE,6.9,7.4,8.1,FALSE,5
"CT45DT","OK",FALSE,6.1,6.1,8.1,FALSE,3
"CT45DU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT45DU","No Data",NA,NA,NA,NA,FALSE,0
"CT45DX","OK",TRUE,3.2,3.1,4.6,FALSE,4
"CT45DY","OK",TRUE,4.8,5.6,6.8,FALSE,8
"CT45DZ","OK",FALSE,4.5,4.3,6.9,FALSE,12
"CT45EA","OK",TRUE,2.8,3.3,4.3,FALSE,6
"CT45EB","OK",TRUE,3.4,3.9,6.2,FALSE,5
"CT45ED","OK",FALSE,6.6,6.6,7.7,FALSE,7
"CT45EE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT45EE","No Data",NA,NA,NA,NA,FALSE,0
"CT45EF","OK",FALSE,4.7,4.5,7.4,FALSE,3
"CT45EG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT45EG","No Data",NA,NA,NA,NA,FALSE,0
"CT45EH","OK",FALSE,3.7,3.6,4.3,FALSE,5
"CT45EJ","OK",FALSE,4.9,4.9,5,FALSE,3
"CT45EL","OK",FALSE,7.3,7.4,10.3,FALSE,4
"CT45EN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT45EN","No Data",NA,NA,NA,NA,FALSE,0
"CT45EP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT45EP","No Data",NA,NA,NA,NA,FALSE,0
"CT45ER","OK",FALSE,5.9,5.7,9.5,FALSE,12
"CT45ES","OK",TRUE,3.8,3.7,5.7,FALSE,3
"CT45ET","OK",FALSE,5.1,5.7,6.8,FALSE,5
"CT45EU","OK",FALSE,4.2,4.1,6,FALSE,6
"CT45EX","OK",TRUE,2.8,2.8,5.9,FALSE,58
"CT45EY","OK",TRUE,3,2.8,5.1,FALSE,7
"CT45EZ","OK",TRUE,3,2.3,6.2,FALSE,6
"CT45GA","No premises",NA,NA,NA,NA,FALSE,0
"CT45GD","No premises",NA,NA,NA,NA,FALSE,0
"CT45HA","OK",TRUE,3,3.5,4.2,FALSE,5
"CT45HB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT45HB","No Data",NA,NA,NA,NA,FALSE,0
"CT45HD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT45HD","No Data",NA,NA,NA,NA,FALSE,0
"CT45HE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"CT45HE","No Data",NA,NA,NA,NA,FALSE,0
"CT45HH","Insufficient Data",NA,NA,NA,NA,FALSE,2
